
... ... ... ... ... ... 137 138 139 ... ... ... ... ... ...
... 001 130 ... ... ... ... ... ... ... ... ... 144 167 ...
... 128 ... 224 223 ... ... 156 ... ... 161 164 ... 166 ...
... ... 126 ... ... ... 154 155 158 ... ... ... 174 ... ...
... ... 123 ... ... 220 ... ... ... 184 ... ... 175 ... ...
... ... ... ... 118 ... ... ... ... ... 186 ... ... ... ...
009 ... ... 032 ... ... 113 114 215 ... ... 188 ... ... 191
012 ... 030 035 ... ... 108 107 106 ... ... 205 200 ... 192
013 ... ... 036 ... ... 109 104 105 ... ... 204 ... ... 193
... ... ... ... 038 ... ... ... ... ... 208 ... ... ... ...
... ... 041 ... ... 058 ... ... ... 210 ... ... 093 ... ...
... ... 046 ... ... ... 062 099 098 ... ... ... 092 ... ...
... 024 ... 048 055 ... ... 072 ... ... 075 080 ... 082 ...
... 023 022 ... ... ... ... ... ... ... ... ... 084 083 ...
... ... ... ... ... ... 065 066 067 ... ... ... ... ... ...

1.1:	  3
1.2:	  2 132
1.3:	  131 133
1.4:	  132 134
1.5:	  133 135
1.6:	  134 136
1.10:	  140 148
1.11:	  141 147
1.12:	  142 146
1.13:	  143 145
1.14:	  168
1.15:	  169
2.1:	  2 4
2.4:	  131 133 225
2.5:	  132 134
2.6:	  133 135 151
2.7:	  134 136 150 152
2.8:	  135 149 151
2.9:	  140 148 150
2.10:	  141 147 149 181
2.11:	  142 146 148 162
2.12:	  143 145 147 163
2.15:	  168 170
3.1:	  3 5
3.3:	  127 129 225
3.6:	  134 152 222
3.7:	  135 151 153
3.9:	  149 157 159 181
3.10:	  148 160 180 182
3.13:	  165
3.15:	  169 171
4.1:	  4 6
4.2:	  5 125 127
4.4:	  121 125 225
4.5:	  120 222
4.6:	  153 221
4.10:	  159 179 181 183
4.11:	  160 162 178 180 182
4.12:	  163 177 179 181
4.14:	  171 173 177
4.15:	  170 172
5.1:	  5 7
5.2:	  6 122 124
5.4:	  120 122 124
5.5:	  119 121 221
5.7:	  219
5.8:	  218
5.9:	  217
5.11:	  177 179 181 183 185
5.12:	  176 178 180 182
5.14:	  172 176 178
5.15:	  171 177
6.1:	  6 8
6.2:	  7 121
6.3:	  120 122
6.4:	  119 121
6.6:	  117 219
6.7:	  116 218
6.8:	  115 217
6.9:	  216
6.10:	  185
6.12:	  177 179 181 187
6.13:	  176 178 180 198
6.14:	  177 179 197
6.15:	  178
7.2:	  8 10
7.3:	  31 121
7.5:	  33
7.6:	  112
7.10:	  214
7.11:	  187
7.13:	  177 179 189 197 199
7.14:	  178 190 196 198
8.2:	  11 29
8.5:	  34
8.6:	  111
8.10:	  213
8.11:	  206
8.14:	  195 197 199 201
9.2:	  28
9.3:	  29
9.5:	  37
9.6:	  110
9.10:	  212
9.11:	  207
9.13:	  195 197 199 201 203
9.14:	  194 196 198 202
10.1:	  14
10.2:	  27 43
10.3:	  28 40 42
10.4:	  37 39 43 51
10.6:	  59
10.7:	  60 102
10.8:	  101 103
10.9:	  102
10.10:	  209 211
10.12:	  197 203
10.13:	  196 198 202
10.14:	  195 197
10.15:	  194 196
11.1:	  15 43
11.2:	  26 42 44
11.4:	  40 42 44 50 52
11.5:	  39 43 51 53 57 59
11.7:	  59 61 101
11.8:	  60 100 102
11.9:	  101
11.11:	  77 95 209
11.12:	  78 94
11.14:	  196
11.15:	  195
12.1:	  16 44
12.2:	  25 43 45
12.4:	  43 45 47 49 51 53
12.5:	  44 50 52 54 56 60
12.6:	  51 53 57 59 61
12.10:	  77 89 97
12.11:	  76 78 90 96
12.12:	  77 79 91 95
12.14:	  91
12.15:	  90
13.1:	  17
13.3:	  47
13.6:	  52 54 56 60
13.7:	  53 61 63 71
13.9:	  69 71 73
13.10:	  70 74 76 88
13.13:	  81
13.15:	  89
14.1:	  18
14.4:	  49 51 53
14.5:	  50 52 54
14.6:	  51 53
14.7:	  52 64 70
14.8:	  69 71
14.9:	  68 70
14.10:	  69 77 87
14.11:	  76 78 86
14.12:	  77 79 85
14.15:	  88
15.1:	  19
15.2:	  20
15.3:	  21 51
15.4:	  50 52
15.5:	  51 53
15.6:	  52
15.10:	  68
15.11:	  77
15.12:	  78
15.13:	  85
15.14:	  86
15.15:	  87

